id_aranzmana,destinacija,pib_agencije,broj_kreveta,cena
1,Lefkada,106900792,2,390
2,Lefkada,106900792,3,340
3,Zakintos,106900792,2,385
4,Zakintos,106900792,3,365
5,Sicilija,106900792,2,570
6,Sicilija,106900792,3,560
7,Kusadasi,106900792,3,205
8,Kusadasi,106900792,2,215
9,Kavos,106900792,3,385
10,Kavos,106900792,2,465
11,Kefalonija,106900792,3,320
12,Kefalonija,106900792,2,340
13,Evia,106900792,2,220
14,Evia,106900792,3,200
15,Zakintos,103721228,2,359
16,Zakintos,103721228,3,349
17,Kusadasi,103721228,2,279
18,Kusadasi,103721228,3,269
19,Kavos,103721228,2,289
20,Kavos,103721228,3,279
21,Lutraki,103721228,2,359
22,Lutraki,103721228,3,349
23,Lefkada,103721228,2,359
24,Lefkada,103721228,3,329
25,Evia,103721228,2,229
26,Evia,103721228,3,219
27,Budva,103721228,2,239
28,Budva,103721228,3,229
29,Marmaris,106848247,2,279
30,Marmaris,106848247,3,269
31,Kusadasi,106848247,3,169
32,Kusadasi,106848247,2,179
33,Lefkada,106848247,3,259
34,Lefkada,106848247,2,279
35,Zakintos,106848247,2,359
36,Zakintos,106848247,3,329
37,Kavos,106848247,3,269
38,Kavos,106848247,2,279
39,Lutraki,106848247,3,249
40,Lutraki,106848247,2,259
41,Evia,106848247,3,219
42,Evia,106848247,2,229
43,Budva,106848247,3,210
44,Budva,106848247,2,220
45,Kalitea,107156256,3,270
46,Kalitea,107156256,2,320
47,Zakintos,107156256,3,275
48,Zakintos,107156256,3,290
49,Kavos,107156256,2,275
50,Kavos,107156256,3,260
51,Kefalonija,107156256,3,195
52,Kefalonija,107156256,2,210
